id,formulation,status,treatment
S5-01,Prism splits a composite into named components,Retained metaphor,Typed facet projection separates admitted records by declared metadata; no optical interception is implemented.
S5-02,NSA PRISM is literal fiber-optic rainbow separation,Source assertion; external distinction,E1 distinguishes provider/downstream PRISM from backbone/upstream acquisition; no all-senses collection claim follows.
S5-03,A Pride flag is a harvesting trap,Unsupported source assertion,No acquisition evidence or causal demonstration is supplied. The rainbow is a chosen interface palette; displaying it is not consent or proof of any personal trait.
S5-04,A hash makes identity tamper-proof and immutable,Mathematical correction,"A digest detects byte differences against a trusted reference. It does not authenticate a person, authorize access or make an assertion true."
S5-05,Every scraped bit belongs in the definition DAG,Typed separation,The fixed operator registry and variable event/object records are distinct. Reference links are not observations of reality.
S5-06,The entire life fits into one exact compressed word,Capacity correction,An injective serialization retains supplied finite data; it cannot force arbitrary history into the fixed Gambit state length or a small color token.
S5-07,Equal Hamming weight means identical behavior,Counterexample,0011 and 1100 both have Hamming weight two and differ in their active positions. A count neither identifies a person nor establishes behavior.
S5-08,Parity isolates any deceptive individual,Counterexample,XOR by 0011 flips two bits and preserves parity. Parity neither identifies which bit changed nor authenticates its source.
S5-09,A latch retains every anomaly forever,Counterexample,Latch sequences 0→0→0 and 0→1→0 have the same endpoint and event XOR. Ordered history requires a separate record.
S5-10,C15 proves every deviation spreads,Scope correction,"C15 is one intervention witness under a specified seed, not a guarantee about arbitrary people or signals."
S5-11,"Gaze proves sexuality, religion or hidden intention",Unsupported inference,Gaze remains a labelled measurement only. No protected-trait or hidden-intention classifier is supplied or implemented.
S5-12,Generated Dutch atlas groups all humanity,Domain correction,The atlas concerns the bounded 0–99 number profile; it supplies no population dataset or behavioral equivalence relation.
S5-13,Rainbowing makes artificial islands evidence of surveillance,Metaphor only,No geographical or surveillance evidence is supplied. The corpus bit-islands are geometric encoding locations.
S5-14,Divide et impera as global social control,Threat-model treatment,"Retained as a governance concern. The implementation partitions one holder’s data domains, not populations for manipulation."
S5-15,All individual data in a digital passport,Operational design construction,"All means the admitted, inventoried, permissioned scope at a timestamp. Missing and unavailable sources remain explicit."
