id,mechanism,contract,source_location,origin
UU2-01,Open threshold relation,"d compared with T gives <, = or >",S3 pp.1–2,source-definition
UU2-02,Agnostic Boundary Horizon,delta(x)=abs(d(x)-T),S3 pp.9–12,source-definition
UU2-03,UU ID Double Set Operator,"min(abs(d1-T1),abs(d2-T2))","S3 pp.2–3,9",source-definition
UU2-04,Tagged identity disjunction,"Retain component records, minimum value and all exact minimizer IDs","S3 pp.3,9; V2 construction",v2-construction
UU2-05,Point-Source / Genesis Horizon,abs(norm(P-P_source)-T_source),S3 pp.10–12,source-definition
UU2-06,Source-centred one-bit convention,"0 at source, 1 away from source",S3 pp.10–11,source-convention
UU2-07,Horizon-centred one-bit convention,"0 on threshold horizon, 1 away from horizon",S3 p.12,source-convention
UU2-08,Chronotemporal absorbing field,"Integral of D(P,E(tau)) times exp(-lambda*(t-tau))",S3 pp.4–5,source-definition
UU2-09,Historical UU ID envelope,Minimum of historical absolute threshold deviations,S3 pp.5–6,source-definition
UU2-10,Content-addressed experience lineage,Append records with prior parents and their content addresses,S3 pp.7–10; V2 construction,v2-construction
UU2-11,Successive-state continuity path,Every declared successive-state distance is at most epsilon,S3 p.5; V2 path formalization,v2-construction
UU2-12,Unsigned complete-state horizon,UU ID over the permanent anchor and active C13 interval boundaries,S2 p.13; S3 pp.13–18; V2 construction,v2-construction
UU2-13,Unsigned state decoder,"Read each bit at x=3j with a threshold in [1/4,11/4)",S3 p.18; V2 explicit decoder,v2-construction
UU2-14,Relational engine hinge,Use F+65536 relative to 65536 and the unchanged hysteresis margins,S2 pp.6–7; V2 construction,v2-construction
UU2-15,Layered log-polar address lift,Keep control addresses and all 118 bit layers in a separate 3D sphere-horizon map,S3 pp.16–18; V2 construction,v2-construction
UU2-16,UU ID conjugate transition,"Encode, decode and evolve the complete current-state horizon",S2 U4; S3 pp.13–18; V2 theorem UF2,v2-construction
