id,source_pages_or_section,source_claim_or_motif,disposition,formalization_decision
C01,3-5,"Normalized SDF in [0,1]",QUALIFIED,"Normalization is a code/drive map. The signed field and its sign convention remain separate; a value in [0,1] is not by itself a signed distance."
C02,6,Klein-cone polynomial is an acoustic signed distance,NOT ESTABLISHED,"The supplied polynomial specifies an implicit zero set. No distance identity, topology proof or calibrated acoustic law is supplied. It is not the runtime pressure law."
C03,"6, 31",phi supplies the unique growth scale,NOT ADOPTED AS UNIVERSAL,"The reciprocal golden-ratio motif remains source notation. Frozen 3.1 assets actually use turtle_shrink=0.72, not phi. Changing this requires a new asset seed."
C04,7,Trichromatic channels are frequency and interference physics,NOT IMPLEMENTED,The retained uint32 texel holds a biased signed field code and an unsigned drive. Neither component denotes a physical frequency or actuator setting.
C05,7,Unbalanced BST finds an 8-bit pointer in three steps,NOT ESTABLISHED,"A generic unbalanced tree has no such fixed depth guarantee. The shipped execution uses direct, bounded dense LUT indexing, not this unspecified BST."
C06,8,Shifting the top bit is pulse-density conversion,DISTINGUISHED,Bit selection and lossless serialization differ from pulse-density quantization. The retained residual accumulator defines the emitted pulse sequence.
C07,"9, 32",XOR random jitter eliminates quantization noise,NOT ESTABLISHED,No runtime noise is injected. Arbitrary XOR can change pulse counts and break the stated codec identity. No blue-noise or spectral-quality claim is made.
C08,9,Parity guarantees telemetry integrity,QUALIFIED,"XOR parity detects odd-weight bit changes in a checked word, not every error and not malicious replacement. Hash checking is separate."
C09,9-10,Parity is symmetric-difference blending,RETAINED AT INDICATOR LEVEL,The indicator identity 1_(A triangle B)=1_A XOR 1_B is exact. It does not identify metric distance blending with a scalar parity reduction.
C10,10,Parity gives topological volume or dimension,NOT ESTABLISHED,Parity gives cardinality modulo two for the represented bits. Topological dimension or physical volume is not obtained from this reduction.
C11,11-12,Geometry plus parity supplies zero-overhead encryption,NOT ESTABLISHED,No encryption scheme or adversarial security proof is supplied. Capsule SHA-256 detects changes against a trusted digest; it is not a signature.
C12,13-14,Passive photonics has zero operational latency,NOT ESTABLISHED,"There is no photonic layout, fabrication model, propagation budget or device measurement in the package. No zero-latency statement is certified."
C13,15-17,Log-radius automatically implements time dilation,NOT ESTABLISHED,"The runtime phase is a finite logical index. No Lorentz transformation, relativistic channel or physical time-dilation model is implemented."
C14,17-19,IPD and ITD are one interchangeable spatial quantity,DISTINGUISHED,The source explicitly clarifies IPD as interpupillary distance. IPD and ITD retain different types and units; they are not inputs to this autonomous numerical release.
C15,20-22,T is both geometry and an exact arrival root,QUALIFIED,"T as a geometric motif, continuous root time and integer update index are typed separately. Earlier analytic toy roots are not the kernel clock or a calibrated arrival law."
C16,23-25,Every field has one homogeneous SDF type,NEW EXPLICIT CONSTRUCTION,U4 uses a product state with an exact binary encoding. Lemma C13 constructs a true SDF representation of each encoded state; no implicit type equivalence is assumed.
C17,24,One sign evaluation solves every boundary-crossing time,NOT ESTABLISHED,"A sign query alone does not specify a root-search algorithm, uniqueness or a time bracket. This release uses declared discrete thresholds and update rules."
C18,25,Geometry completely eliminates execution,NOT ESTABLISHED,"The deliverable is executable software requiring an interpreter/compiler, memory and hardware execution. Representational equivalence is not zero work."
C19,25-27,Human consciousness is this field loop,HYPOTHESIS,Causal self-feedback is proved for the model. The corpus supplies no experiment identifying the resulting computation with human subjective experience.
C20,26,Hadamard transform is the same operator as XOR,DISTINGUISHED,"Walsh characters may be indexed by binary parity, while the real-valued transform sums weighted amplitudes. H squared equals 2I for the displayed 2x2 matrix; it is not a Boolean XOR gate."
C21,28-29,Memory is permanent quantum-holographic geometry,HYPOTHESIS / MODEL CHOICE,The executable memory is a bounded integer moving average that affects subsequent field sampling. Permanent biological storage and electron-cloud mechanisms are not established.
C22,30-31,alpha/beta/gamma grammar completes all growth,INCOMPLETE SOURCE SKETCH,The sketch does not specify the complete interpreter and all operational rules. The total XX/XY grammar from earlier releases remains authoritative for these assets.
C23,30-34,A single scalar seed contains an arbitrary infinite structure,QUALIFIED,"The complete seed contains program semantics, grammar/interpreter parameters and frozen LUT bytes. One selector bit chooses between predeclared alternatives; it does not replace their descriptions."
C24,31,phi guarantees perfect self-similarity at every scale,NOT CERTIFIED,The implementation contains five finite baked levels with explicit sampling. It proves neither infinite self-similarity nor a universal scale law.
C25,31,Kinematic advection automatically preserves an SDF,NOT ESTABLISHED,"A transported scalar field and a unit-gradient distance function are different conditions. The implemented transport is an integer graph law, not an asserted continuum PDE equivalence."
C26,32,An infinite log-polar LUT gives infinite near-field precision,NOT IMPLEMENTED,The frozen chart excludes r=0 and has finite radial/angular bins. No interpolation or infinite-resolution claim is used by the closure theorem.
C27,33-34,The pseudocode is a completed executable operator chain,SOURCE SKETCH COMPLETED IN NEW CODE,"The source calls undefined functions and includes float operations. New C++ and Python files define the actual finite transition, serialization, checks and Boolean arithmetic."
C28,35,f:R^n to R has matching range and domain,CORRECTED EXPLICITLY,For n not equal to one this is not an endomorphism. U4 instead specifies T_sigma:S_sigma to S_sigma and a conjugate map on the image of its binary/SDF encoding.
