profile_id,value,orthography,segments,morphemes,place_order,spoken_order,hinge_kind,pulse_count,binary,active_bit_positions,popcount,count_match
nl-TKUFT-0-99-v2,0,nul,"[""nul""]","[""nul""]",[0],[0],atomic,1,0,[],0,False
nl-TKUFT-0-99-v2,1,een,"[""een""]","[""een""]",[1],[1],atomic,1,1,[0],1,True
nl-TKUFT-0-99-v2,2,twee,"[""twee""]","[""twee""]",[2],[2],atomic,1,10,[1],1,True
nl-TKUFT-0-99-v2,3,drie,"[""drie""]","[""drie""]",[3],[3],atomic,1,11,"[0, 1]",2,False
nl-TKUFT-0-99-v2,4,vier,"[""vier""]","[""vier""]",[4],[4],atomic,1,100,[2],1,True
nl-TKUFT-0-99-v2,5,vijf,"[""vijf""]","[""vijf""]",[5],[5],atomic,1,101,"[0, 2]",2,False
nl-TKUFT-0-99-v2,6,zes,"[""zes""]","[""zes""]",[6],[6],atomic,1,110,"[1, 2]",2,False
nl-TKUFT-0-99-v2,7,zeven,"[""ze"", ""ven""]","[""zeven""]",[7],[7],atomic,2,111,"[0, 1, 2]",3,False
nl-TKUFT-0-99-v2,8,acht,"[""acht""]","[""acht""]",[8],[8],atomic,1,1000,[3],1,True
nl-TKUFT-0-99-v2,9,negen,"[""ne"", ""gen""]","[""negen""]",[9],[9],atomic,2,1001,"[0, 3]",2,True
nl-TKUFT-0-99-v2,10,tien,"[""tien""]","[""tien""]",[10],[10],atomic,1,1010,"[1, 3]",2,False
nl-TKUFT-0-99-v2,11,elf,"[""elf""]","[""elf""]",[11],[11],irregular,1,1011,"[0, 1, 3]",3,False
nl-TKUFT-0-99-v2,12,twaalf,"[""twaalf""]","[""twaalf""]",[12],[12],irregular,1,1100,"[2, 3]",2,False
nl-TKUFT-0-99-v2,13,dertien,"[""der"", ""tien""]","[""der"", ""tien""]","[10, 3]","[3, ""tien""]",teen_suffix,2,1101,"[0, 2, 3]",3,False
nl-TKUFT-0-99-v2,14,veertien,"[""veer"", ""tien""]","[""veer"", ""tien""]","[10, 4]","[4, ""tien""]",teen_suffix,2,1110,"[1, 2, 3]",3,False
nl-TKUFT-0-99-v2,15,vijftien,"[""vijf"", ""tien""]","[""vijf"", ""tien""]","[10, 5]","[5, ""tien""]",teen_suffix,2,1111,"[0, 1, 2, 3]",4,False
nl-TKUFT-0-99-v2,16,zestien,"[""zes"", ""tien""]","[""zes"", ""tien""]","[10, 6]","[6, ""tien""]",teen_suffix,2,10000,[4],1,False
nl-TKUFT-0-99-v2,17,zeventien,"[""ze"", ""ven"", ""tien""]","[""zeven"", ""tien""]","[10, 7]","[7, ""tien""]",teen_suffix,3,10001,"[0, 4]",2,False
nl-TKUFT-0-99-v2,18,achttien,"[""acht"", ""tien""]","[""acht"", ""tien""]","[10, 8]","[8, ""tien""]",teen_suffix,2,10010,"[1, 4]",2,True
nl-TKUFT-0-99-v2,19,negentien,"[""ne"", ""gen"", ""tien""]","[""negen"", ""tien""]","[10, 9]","[9, ""tien""]",teen_suffix,3,10011,"[0, 1, 4]",3,True
nl-TKUFT-0-99-v2,20,twintig,"[""twin"", ""tig""]","[""twintig""]",[20],[20],atomic,2,10100,"[2, 4]",2,True
nl-TKUFT-0-99-v2,21,eenentwintig,"[""een"", ""en"", ""twin"", ""tig""]","[""een"", ""en"", ""twintig""]","[20, 1]","[1, ""en"", 20]",en_connector,4,10101,"[0, 2, 4]",3,False
nl-TKUFT-0-99-v2,22,tweeëntwintig,"[""twee"", ""en"", ""twin"", ""tig""]","[""twee"", ""en"", ""twintig""]","[20, 2]","[2, ""en"", 20]",en_connector,4,10110,"[1, 2, 4]",3,False
nl-TKUFT-0-99-v2,23,drieëntwintig,"[""drie"", ""en"", ""twin"", ""tig""]","[""drie"", ""en"", ""twintig""]","[20, 3]","[3, ""en"", 20]",en_connector,4,10111,"[0, 1, 2, 4]",4,True
nl-TKUFT-0-99-v2,24,vierentwintig,"[""vier"", ""en"", ""twin"", ""tig""]","[""vier"", ""en"", ""twintig""]","[20, 4]","[4, ""en"", 20]",en_connector,4,11000,"[3, 4]",2,False
